"","HOUR_IN_YEAR","MONTH","HOUR_IN_DAY","DIFFUSED","DIRECT","GLOBAL"
"5382",3111,5,14,87.304347826087,93.7391304347826,181.04347826087
"5757",3112,5,15,74.7971014492754,85.6811594202899,160.478260869565
"6132",3113,5,16,64.6231884057971,64.463768115942,129.086956521739
"6507",3114,5,17,49.7101449275362,46.6376811594203,96.3478260869565
"6882",3115,5,18,34.8840579710145,27.4202898550725,62.304347826087
"7257",3116,5,19,17.4347826086957,8.20289855072464,25.6376811594203
"7632",3117,5,20,3.1304347826087,0.579710144927536,3.71014492753623
"8007",3118,5,21,0,0,0
"8382",3119,5,22,0,0,0
"8757",3120,5,23,0,0,0
"133",3121,5,0,0,0,0
"508",3122,5,1,0,0,0
"883",3123,5,2,0,0,0
"1258",3124,5,3,0,0,0
"1633",3125,5,4,0,0,0
"2008",3126,5,5,3.47826086956522,0.347826086956522,3.82608695652174
"2383",3127,5,6,19.1449275362319,8.05797101449275,27.2028985507246
"2758",3128,5,7,35.3478260869565,28.0869565217391,63.4347826086956
"3133",3129,5,8,51.8985507246377,53.2753623188406,105.173913043478
"3508",3130,5,9,67.2173913043478,75.2898550724638,142.507246376812
"3883",3131,5,10,77.5797101449275,91.9275362318841,169.507246376812
"4258",3132,5,11,87.0144927536232,103.260869565217,190.275362318841
"4633",3133,5,12,92.3768115942029,109.173913043478,201.550724637681
"5008",3134,5,13,94.1159420289855,100.391304347826,194.507246376812
"5383",3135,5,14,90.4927536231884,86.5797101449275,177.072463768116
"5758",3136,5,15,79.695652173913,71.5797101449275,151.275362318841
"6133",3137,5,16,65.4411764705882,51.6323529411765,117.073529411765
"6508",3138,5,17,51.4852941176471,33.6176470588235,85.1029411764706
"6883",3139,5,18,33.4347826086956,18.9855072463768,52.4202898550725
"7258",3140,5,19,17.1884057971014,7.50724637681159,24.695652173913
"7633",3141,5,20,3.1304347826087,0.608695652173913,3.73913043478261
"8008",3142,5,21,0,0,0
"8383",3143,5,22,0,0,0
"8758",3144,5,23,0,0,0
"134",3145,5,0,0,0,0
"509",3146,5,1,0,0,0
"884",3147,5,2,0,0,0
"1259",3148,5,3,0,0,0
"1634",3149,5,4,0,0,0
"2009",3150,5,5,3.40579710144928,0.666666666666667,4.07246376811594
"2384",3151,5,6,18.231884057971,9.49275362318841,27.7246376811594
"2759",3152,5,7,35.4927536231884,29.7391304347826,65.231884057971
"3134",3153,5,8,51.0869565217391,51.6376811594203,102.724637681159
"3509",3154,5,9,69.5217391304348,72.4202898550725,141.942028985507
"3884",3155,5,10,80.1594202898551,100.231884057971,180.391304347826
"4259",3156,5,11,89.6086956521739,104.072463768116,193.68115942029
"4634",3157,5,12,90.3235294117647,104.058823529412,194.382352941176
"5009",3158,5,13,94.9855072463768,96.536231884058,191.521739130435
"5384",3159,5,14,85.768115942029,84.8260869565217,170.594202898551
"5759",3160,5,15,75.1159420289855,74.2173913043478,149.333333333333
"6134",3161,5,16,65.8695652173913,62.3768115942029,128.246376811594
"6509",3162,5,17,51.0579710144928,39.7826086956522,90.8405797101449
"6884",3163,5,18,33.2463768115942,21.8115942028986,55.0579710144928
"7259",3164,5,19,16.5507246376812,7.89855072463768,24.4492753623188
"7634",3165,5,20,3.23188405797101,0.579710144927536,3.81159420289855
"8009",3166,5,21,0,0,0
"8384",3167,5,22,0,0,0
"8759",3168,5,23,0,0,0
"135",3169,5,0,0,0,0
"510",3170,5,1,0,0,0
"885",3171,5,2,0,0,0
"1260",3172,5,3,0,0,0
"1635",3173,5,4,0,0,0
"2010",3174,5,5,3.40579710144928,0.608695652173913,4.01449275362319
"2385",3175,5,6,18.1884057971014,9.94202898550725,28.1304347826087
"2760",3176,5,7,36.695652173913,29.6086956521739,66.304347826087
"3135",3177,5,8,52.6231884057971,56.7101449275362,109.333333333333
"3510",3178,5,9,66.8676470588235,84.8088235294118,151.676470588235
"3885",3179,5,10,79.3676470588235,110.544117647059,189.911764705882
"4260",3180,5,11,92.2647058823529,126.102941176471,218.367647058824
"4635",3181,5,12,95.0882352941177,121.852941176471,216.941176470588
"5010",3182,5,13,93.0147058823529,123.882352941176,216.897058823529
"5385",3183,5,14,88.9852941176471,118.779411764706,207.764705882353
"5760",3184,5,15,82.1449275362319,95.4492753623188,177.594202898551
"6135",3185,5,16,70.4347826086957,73.8115942028985,144.246376811594
"6510",3186,5,17,53.6666666666667,44.5652173913044,98.231884057971
"6885",3187,5,18,35.3768115942029,24.2463768115942,59.6231884057971
"7260",3188,5,19,19.1304347826087,6.88405797101449,26.0144927536232
"7635",3189,5,20,4,0.536231884057971,4.53623188405797
"8010",3190,5,21,0,0,0
"8385",3191,5,22,0,0,0
"8760",3192,5,23,0,0,0
"136",3193,5,0,0,0,0
"511",3194,5,1,0,0,0
"886",3195,5,2,0,0,0
"1261",3196,5,3,0,0,0
"1636",3197,5,4,0,0,0
"2011",3198,5,5,4.40579710144928,0.550724637681159,4.95652173913043
"2386",3199,5,6,19.2753623188406,9.11594202898551,28.3913043478261
"2761",3200,5,7,37.695652173913,27.8260869565217,65.5217391304348
"3136",3201,5,8,54.1449275362319,48.4782608695652,102.623188405797
"3511",3202,5,9,65.5652173913043,71.5072463768116,137.072463768116
"3886",3203,5,10,81.8550724637681,93.695652173913,175.550724637681
"4261",3204,5,11,85.4492753623188,101.579710144928,187.028985507246
"4636",3205,5,12,90.9275362318841,100.942028985507,191.869565217391
"5011",3206,5,13,93.8985507246377,100.31884057971,194.217391304348
"5386",3207,5,14,89.463768115942,97.5507246376812,187.014492753623
"5761",3208,5,15,81.9420289855072,84.5652173913043,166.507246376812
"6136",3209,5,16,72.4492753623188,67.0724637681159,139.521739130435
"6511",3210,5,17,53.7391304347826,43.695652173913,97.4347826086957
"6886",3211,5,18,36.0724637681159,23.7971014492754,59.8695652173913
"7261",3212,5,19,20.4782608695652,9.14492753623188,29.6231884057971
"7636",3213,5,20,4.40579710144928,0.927536231884058,5.33333333333333
"8011",3214,5,21,0,0,0
"8386",3215,5,22,0,0,0
"8761",3216,5,23,0,0,0
"137",3217,5,0,0,0,0
"512",3218,5,1,0,0,0
"887",3219,5,2,0,0,0
"1262",3220,5,3,0,0,0
"1637",3221,5,4,0,0,0
"2012",3222,5,5,4.34782608695652,0.666666666666667,5.01449275362319
"2387",3223,5,6,19.1594202898551,8.53623188405797,27.695652173913
"2762",3224,5,7,37.0882352941176,24.7058823529412,61.7941176470588
"3137",3225,5,8,52.8235294117647,45.7205882352941,98.5441176470588
"3512",3226,5,9,69.2794117647059,65.2794117647059,134.558823529412
"3887",3227,5,10,83,85.8823529411765,168.882352941176
"4262",3228,5,11,87.089552238806,92.0149253731343,179.10447761194
"4637",3229,5,12,92.8970588235294,87.4852941176471,180.382352941176
"5012",3230,5,13,97.75,90.7941176470588,188.544117647059
"5387",3231,5,14,90.1617647058823,88.5,178.661764705882
"5762",3232,5,15,78.0144927536232,74.4492753623188,152.463768115942
"6137",3233,5,16,67.8115942028985,60.1159420289855,127.927536231884
"6512",3234,5,17,52.463768115942,40.3768115942029,92.8405797101449
"6887",3235,5,18,36.2173913043478,24.2608695652174,60.4782608695652
"7262",3236,5,19,19.6086956521739,9.42028985507246,29.0289855072464
"7637",3237,5,20,4.3768115942029,0.782608695652174,5.15942028985507
"8012",3238,5,21,0,0,0
"8387",3239,5,22,0,0,0
"8762",3240,5,23,0,0,0
"138",3241,5,0,0,0,0
"513",3242,5,1,0,0,0
"888",3243,5,2,0,0,0
"1263",3244,5,3,0,0,0
"1638",3245,5,4,0,0,0
"2013",3246,5,5,4.60869565217391,0.884057971014493,5.49275362318841
"2388",3247,5,6,20.1449275362319,11.3188405797101,31.463768115942
"2763",3248,5,7,38.5507246376812,31.231884057971,69.7826086956522
"3138",3249,5,8,56.8405797101449,59.3188405797101,116.159420289855
"3513",3250,5,9,72.2898550724638,81.7391304347826,154.028985507246
"3888",3251,5,10,83.0289855072464,109.347826086957,192.376811594203
"4263",3252,5,11,90.0724637681159,120.507246376812,210.579710144928
"4638",3253,5,12,94.8529411764706,124.941176470588,219.794117647059
"5013",3254,5,13,95.8985507246377,121.028985507246,216.927536231884
"5388",3255,5,14,89.8840579710145,106.985507246377,196.869565217391
"5763",3256,5,15,83.6521739130435,90.0869565217391,173.739130434783
"6138",3257,5,16,71.3623188405797,72.5072463768116,143.869565217391
"6513",3258,5,17,58.6376811594203,48.463768115942,107.101449275362
"6888",3259,5,18,38.5652173913044,27.4492753623188,66.0144927536232
"7263",3260,5,19,19.3188405797101,10.231884057971,29.5507246376812
"7638",3261,5,20,4.63768115942029,1.08695652173913,5.72463768115942
"8013",3262,5,21,0,0,0
"8388",3263,5,22,0,0,0
"8763",3264,5,23,0,0,0
"139",3265,5,0,0,0,0
"514",3266,5,1,0,0,0
"889",3267,5,2,0,0,0
"1264",3268,5,3,0,0,0
"1639",3269,5,4,0,0,0
"2014",3270,5,5,4.76811594202899,0.782608695652174,5.55072463768116
"2389",3271,5,6,20.5072463768116,8.57971014492754,29.0869565217391
"2764",3272,5,7,39.8260869565217,27.6376811594203,67.463768115942
"3139",3273,5,8,55.5942028985507,49.7101449275362,105.304347826087
"3514",3274,5,9,68.8985507246377,76.2463768115942,145.144927536232
"3889",3275,5,10,85.1304347826087,89.0579710144928,174.188405797101
"4264",3276,5,11,92.6376811594203,107.434782608696,200.072463768116
"4639",3277,5,12,97.8695652173913,111.68115942029,209.550724637681
"5014",3278,5,13,100.739130434783,90.7391304347826,191.478260869565
"5389",3279,5,14,95.9710144927536,89.1304347826087,185.101449275362
"5764",3280,5,15,87.8840579710145,69.8550724637681,157.739130434783
"6139",3281,5,16,74.7391304347826,64.8550724637681,139.594202898551
"6514",3282,5,17,57.1739130434783,51.0869565217391,108.260869565217
"6889",3283,5,18,38.7391304347826,27.5507246376812,66.2898550724638
"7264",3284,5,19,21.0144927536232,10.8985507246377,31.9130434782609
"7639",3285,5,20,5,0.971014492753623,5.97101449275362
"8014",3286,5,21,0,0,0
"8389",3287,5,22,0,0,0
"8764",3288,5,23,0,0,0
"140",3289,5,0,0,0,0
"515",3290,5,1,0,0,0
"890",3291,5,2,0,0,0
"1265",3292,5,3,0,0,0
"1640",3293,5,4,0,0,0
"2015",3294,5,5,5.43478260869565,0.91304347826087,6.34782608695652
"2390",3295,5,6,21.0144927536232,10.8550724637681,31.8695652173913
"2765",3296,5,7,39.6521739130435,31.8405797101449,71.4927536231884
"3140",3297,5,8,57.3768115942029,61.6376811594203,119.014492753623
"3515",3298,5,9,72.3913043478261,90.1884057971015,162.579710144928
"3890",3299,5,10,86.1304347826087,115.724637681159,201.855072463768
"4265",3300,5,11,94.5820895522388,124.641791044776,219.223880597015
"4640",3301,5,12,97.1791044776119,127.358208955224,224.537313432836
"5015",3302,5,13,99.3970588235294,123.985294117647,223.382352941176
"5390",3303,5,14,92.6376811594203,108.550724637681,201.188405797101
"5765",3304,5,15,82.8260869565217,88.1594202898551,170.985507246377
"6140",3305,5,16,71.3768115942029,70.9420289855072,142.31884057971
"6515",3306,5,17,54.5507246376812,53.1159420289855,107.666666666667
"6890",3307,5,18,35.1739130434783,31.695652173913,66.8695652173913
"7265",3308,5,19,19.1739130434783,11.4927536231884,30.6666666666667
"7640",3309,5,20,4.53623188405797,1.1304347826087,5.66666666666667
"8015",3310,5,21,0,0,0
"8390",3311,5,22,0,0,0
"8765",3312,5,23,0,0,0
"141",3313,5,0,0,0,0
"516",3314,5,1,0,0,0
"891",3315,5,2,0,0,0
"1266",3316,5,3,0,0,0
"1641",3317,5,4,0,0,0
"2016",3318,5,5,5.3768115942029,1.04347826086957,6.42028985507246
"2391",3319,5,6,20.8405797101449,10.4927536231884,31.3333333333333
"2766",3320,5,7,39.8260869565217,27.0869565217391,66.9130434782609
"3141",3321,5,8,57.7536231884058,54.1159420289855,111.869565217391
"3516",3322,5,9,73.3768115942029,78.4347826086957,151.811594202899
"3891",3323,5,10,82.4347826086957,101.101449275362,183.536231884058
"4266",3324,5,11,86.6666666666667,110.550724637681,197.217391304348
"4641",3325,5,12,97.0441176470588,95.9558823529412,193
"5016",3326,5,13,99.3768115942029,97.8550724637681,197.231884057971
"5391",3327,5,14,93.8115942028985,89.5652173913043,183.376811594203
"5766",3328,5,15,87.536231884058,79.304347826087,166.840579710145
"6141",3329,5,16,72.7391304347826,64.1449275362319,136.884057971014
"6516",3330,5,17,55.4782608695652,46.1304347826087,101.608695652174
"6891",3331,5,18,37.695652173913,22.2753623188406,59.9710144927536
"7266",3332,5,19,21.1449275362319,8.1304347826087,29.2753623188406
"7641",3333,5,20,5.31884057971014,0.840579710144927,6.15942028985507
"8016",3334,5,21,0,0,0
"8391",3335,5,22,0,0,0
"8766",3336,5,23,0,0,0
"142",3337,5,0,0,0,0
"517",3338,5,1,0,0,0
"892",3339,5,2,0,0,0
"1267",3340,5,3,0,0,0
"1642",3341,5,4,0,0,0
"2017",3342,5,5,5.49275362318841,0.91304347826087,6.40579710144928
"2392",3343,5,6,21.0869565217391,8.56521739130435,29.6521739130435
"2767",3344,5,7,38.6376811594203,24.6231884057971,63.2608695652174
"3142",3345,5,8,54.6376811594203,45.8985507246377,100.536231884058
