"","HOUR_IN_YEAR","MONTH","HOUR_IN_DAY","DIFFUSED","DIRECT","GLOBAL"
"578",4730,7,1,0,0,0
"953",4731,7,2,0,0,0
"1328",4732,7,3,0,0,0
"1703",4733,7,4,0.0428571428571429,0,0.0428571428571429
"2078",4734,7,5,6.60869565217391,1.14492753623188,7.7536231884058
"2453",4735,7,6,21.9275362318841,8.8695652173913,30.7971014492754
"2828",4736,7,7,38.7246376811594,25.9565217391304,64.6811594202899
"3203",4737,7,8,56.4057971014493,47.7391304347826,104.144927536232
"3578",4738,7,9,74.0144927536232,61.8405797101449,135.855072463768
"3953",4739,7,10,86.7971014492754,69.0869565217391,155.884057971014
"4328",4740,7,11,102,77.5,179.5
"4703",4741,7,12,102.117647058824,84.4558823529412,186.573529411765
"5078",4742,7,13,104.797101449275,89.2173913043478,194.014492753623
"5453",4743,7,14,97.6376811594203,83.1884057971015,180.826086956522
"5828",4744,7,15,86.8550724637681,75.1739130434783,162.028985507246
"6203",4745,7,16,74.0869565217391,66.4782608695652,140.565217391304
"6578",4746,7,17,59.4782608695652,44.1739130434783,103.652173913043
"6953",4747,7,18,40.3478260869565,25.8260869565217,66.1739130434783
"7328",4748,7,19,23.4202898550725,10.3768115942029,33.7971014492754
"7703",4749,7,20,8.08695652173913,1.3768115942029,9.46376811594203
"8078",4750,7,21,0.0142857142857143,0,0.0142857142857143
"8453",4751,7,22,0,0,0
"8828",4752,7,23,0,0,0
"204",4753,7,0,0,0,0
"579",4754,7,1,0,0,0
"954",4755,7,2,0,0,0
"1329",4756,7,3,0,0,0
"1704",4757,7,4,0,0,0
"2079",4758,7,5,5.81159420289855,1.56521739130435,7.3768115942029
"2454",4759,7,6,20.9130434782609,10,30.9130434782609
"2829",4760,7,7,39.7101449275362,26.8985507246377,66.6086956521739
"3204",4761,7,8,54.9565217391304,43.9565217391304,98.9130434782609
"3579",4762,7,9,71.3478260869565,66,137.347826086957
"3954",4763,7,10,83.1449275362319,88.7391304347826,171.884057971014
"4329",4764,7,11,94.1594202898551,98.5797101449275,192.739130434783
"4704",4765,7,12,96.9420289855072,95.6521739130435,192.594202898551
"5079",4766,7,13,100.666666666667,87.1159420289855,187.782608695652
"5454",4767,7,14,100.086956521739,78.6231884057971,178.710144927536
"5829",4768,7,15,84.0579710144928,77.463768115942,161.521739130435
"6204",4769,7,16,70.0869565217391,66.1884057971015,136.275362318841
"6579",4770,7,17,56.1014492753623,45.5072463768116,101.608695652174
"6954",4771,7,18,40.3333333333333,26.6086956521739,66.9420289855072
"7329",4772,7,19,23.1304347826087,10.5217391304348,33.6521739130435
"7704",4773,7,20,7.02898550724638,1.68115942028985,8.71014492753623
"8079",4774,7,21,0,0,0
"8454",4775,7,22,0,0,0
"8829",4776,7,23,0,0,0
"205",4777,7,0,0,0,0
"580",4778,7,1,0,0,0
"955",4779,7,2,0,0,0
"1330",4780,7,3,0,0,0
"1705",4781,7,4,0,0,0
"2080",4782,7,5,5.07246376811594,1.17391304347826,6.2463768115942
"2455",4783,7,6,19.9420289855072,10.3913043478261,30.3333333333333
"2830",4784,7,7,37.8695652173913,26.0434782608696,63.9130434782609
"3205",4785,7,8,54.3478260869565,48.0289855072464,102.376811594203
"3580",4786,7,9,66.7246376811594,72.7391304347826,139.463768115942
"3955",4787,7,10,84,88.231884057971,172.231884057971
"4330",4788,7,11,91.6086956521739,90.536231884058,182.144927536232
"4705",4789,7,12,93.463768115942,90.8260869565217,184.289855072464
"5080",4790,7,13,96.9275362318841,98.9565217391304,195.884057971014
"5455",4791,7,14,88.8405797101449,89.8985507246377,178.739130434783
"5830",4792,7,15,83.1449275362319,73.9420289855072,157.086956521739
"6205",4793,7,16,74.1304347826087,64.7826086956522,138.913043478261
"6580",4794,7,17,58.3188405797101,44.8550724637681,103.173913043478
"6955",4795,7,18,42.6376811594203,29.5652173913043,72.2028985507246
"7330",4796,7,19,23.1594202898551,10.6521739130435,33.8115942028985
"7705",4797,7,20,6.57971014492754,1.30434782608696,7.88405797101449
"8080",4798,7,21,0,0,0
"8455",4799,7,22,0,0,0
"8830",4800,7,23,0,0,0
"206",4801,7,0,0,0,0
"581",4802,7,1,0,0,0
"956",4803,7,2,0,0,0
"1331",4804,7,3,0,0,0
